Colonna nome,Data Type, Nullable,Primary Key,Commenti
DT,"DATEtime",No,1,Giorno di riferimento YYMMDD hh:mm:ss
SERVER,"VARCHAR2(32 BYTE)",No,2,Macchina server
NMSG,"NUMBER(15,0)",Yes,,Numero messaggi ricevuti
NMSGNP,"NUMBER(15,0)",Yes,,Numero messaggi non processati
N1100,"NUMBER(15,0)",Yes,,Numero messaggi 1100
N1120,"NUMBER(15,0)",Yes,,Numero messaggi 1120
N1420,"NUMBER(15,0)",Yes,,Numero messaggi 1420
TPSRT,"NUMBER(8,0)",Yes,,Transazioni al secondo Real Time
TPSNRT,"NUMBER(8,0)",Yes,,Transazioni al secondo Near Real time
TDRRT,"NUMBER(8,0)",Yes,,Tempo medio di risposta Real Time
TDRNRT,"NUMBER(8,0)",Yes,,Tempo medio di risposta Near Real Time
TDRMAXRT,"NUMBER(8,0)",Yes,,Tempo massimo di risposta Real Time
TDRMAXNRT,"NUMBER(8,0)",Yes,,Tempo massimo di risposta Near Real Time
TO200RT,"NUMBER(8,0)",Yes,,Tempo di risposta maggiore 200 ms Real Time
TO200NRT,"NUMBER(8,0)",Yes,,Tempo di risposta maggiore 200 ms Near Real Time
TO500RT,"NUMBER(8,0)",Yes,,Tempo di risposta maggiore 500 ms Real Time,    ----------------- solo elaborazione Horus
TO500NRT,"NUMBER(8,0)",Yes,,Tempo di risposta maggiore 500 ms Near Real Time
N1200,"NUMBER(15,0)",Yes,,Numero messaggi 1200
NADVTO,"NUMBER(8,0)",Yes,,Numero Advice ricevuti per Timeout, ------------------------------network+horus
N1220,"NUMBER(15,0)",Yes,,Numero messaggi 1220
NADVOF,"NUMBER(8,0)",Yes,,Numero Advice ricevuti per Offline
NPOKER,"NUMBER(15,0)",Yes,,Numero messaggi elaborati da Poker
TDRPOKER,"NUMBER(8,0)",Yes,,Tempo medio di risposta di Poker 
TDRMAXPOKER,"NUMBER(8,0)",Yes,,Tempo massimo di risposta di Poker
NAICLOUD,"NUMBER(15,0)",Yes,,Numero di messaggi inviati ad ai_cloud
N_NS_AICLOUD,"NUMBER(15,0)",Yes,,Numero di messaggi non inviati ad ai_cloud
N_RESP_AICLOUD,"NUMBER(15,0)",Yes,,Numero di risposte ai_cloud entro il to
N_TO_AICLOUD,"NUMBER(15,0)",Yes,,Numero di chiamate ai_cloud andate in to
TDR_AICLOUD,"NUMBER(8,0)",Yes,,Tempo medio di risposta ai_cloud
TDRMAX_AICLOUD,"NUMBER(8,0)",Yes,,Tempo massimo di risposta ai_cloud
TO200RT_AICLOUD,"NUMBER(8,0)",Yes,,Numero timeout 200 ms real time causati dalla chiamata ad AI_CLOUD
TO200NRT_AICLOUD,"NUMBER(8,0)",Yes,,Numero timeout 200 ms near real time causati dalla chiamata ad AI_CLOUD
TO500RT_AICLOUD,"NUMBER(8,0)",Yes,,Numero timeout 500 ms real time causati dalla chiamata ad AI_CLOUD -------------------- fallimento dovuto al cloud se anche cloud non ha superato sua soglia
TO500NRT_AICLOUD,"NUMBER(8,0)",Yes,,Numero timeout 500 ms near real time causati dalla chiamata ad AI_CLOUD